iter	Logloss	Accuracy
371	0.2537119254	0.91432584273372	0.2533001304	0.91432584273373	0.2525407636	0.91432584273374	0.2518126852	0.91432584273375	0.2516023965	0.91573033737376	0.2513777105	0.91573033376377	0.2511230557	0.9157303377	378	0.2505545206	0.915730378	0379	0.2502527434	0.91573379	0.380	0.2499357056	0.9157380	0.2381	0.2493043644	0.915381	0.27382	0.248767146	0.915382	0.27383	0.2483985553	0.91383	0.279384	0.2482512885	0.9384	0.2789385	0.2476344831	0.385	0.27865386	0.2473544842	0386	0.278239387	0.2470704938	387	0.2778479388	0.2468628899388	0.27735795389	0.246607961389	0.277007735390	0.24629056390	0.2769618803391	0.2461118391	0.2764322671	392	0.2459676392	0.2751303521	393	0.245757393	0.2749012429	0394	0.24541394	0.2747543996	0.395	0.24539395	0.2746438702	0.396	0.24518396	0.2742116155	0.397	0.24475397	0.2738121193	0.398	0.24447398	0.2735318665	0.399	0.24442399	0.2734871885	0.400	0.24420400	0.2732053708	0.401	0.24360401	0.2730191678	0.402	0.24322402	0.2723884616	0.403	0.24279403	0.2721121287	404	0.2422060404	0.2714945973	405	0.2418270405	0.2712692049	406	0.2409745406	0.2711432383	407	0.2409355407	0.2710367107	408	0.2409101408	0.2708891513409	0.24082258409	0.270091294410	0.240500512410	0.269494419411	0.240145587411	0.269219282412	0.239577048412	0.269213742413	0.239329342413	0.269155346414	0.239200486414	0.268859241415	0.239183979415	0.268819518416	0.238806513416	0.268306562417	0.238608462417	0.268077021418	0.238554154418	0.267902467419	0.238317147419	0.267836188420	0.238155151420	0.267102587421	0.237816699421	0.266866175422	0.237232635422	0.266278189423	0.236904991423	0.265997883424	0.236736908424	0.26597956425	0.2365212145425	0.26558619426	0.2363109583426	0.26554659427	0.2362959	0.427	0.26542428	0.2362002694	0.428	0.26490429	0.235482021	0.9429	0.2648430	0.2352957007	0.430	0.2646431	0.2349324041	0.9431	0.2640432	0.2346965432	0.9432	0.2637433	0.2344130038	0.9433	0.2636434	0.2335895632	0.9434	0.2631435	0.2329167236	0.9435	0.2629436	0.2328278158	0.9436	0.2628437	0.2326390493	0.9437	0.2627438	0.2325738593	0.9438	0.2627439	0.2319251957	0.9439	0.2625440	0.2318370033	0.9440	0.2624441	0.2314067515	0.441	0.26169442	0.231305678	0.9442	0.2615443	0.2306907216	0.9443	0.2614444	0.2304588531	0.9444	0.2613445	0.2298022214	0.445	0.26126446	0.2296764883	0.446	0.26113447	0.2293826323	0.447	0.26109448	0.2287451229	0.448	0.26096449	0.2283964061	0.449	0.26086450	0.2281548578	0.450	0.26080451	0.2278060142	0.451	0.26068452	0.2276098348	0.452	0.26040453	0.2270622976	0.453	0.26012454	0.2264245981	0.454	0.25973455	0.2262588223	0455	0.259710456	0.2262395413	0456	0.259358457	0.2260364718	0457	0.259044458	0.2254336044	0458	0.258511459	0.2251075111	0459	0.258488460	0.2249872833	0460	0.258330461	0.2248560438	0461	0.257999462	0.2245672005	462	0.2579159463	0.2245150269	463	0.2577697464	0.2243209736	464	0.2574779465	0.2240188097	465	0.2573660466	0.2237435469	466	0.2572362467	0.2231078688467	0.25698770468	0.222957102	468	0.2566339469	0.2226983983	469	0.2563922470	0.2224068555	470	0.256317471	0.2220898643	0471	0.256207472	0.22176559	0.472	0.25617473	0.2216236858	0.473	0.25613474	0.2215173832	0474	0.25585475	0.2213571597	0.475	0.25571476	0.2210744712	0.476	0.25533477	0.2210446643	0.477	0.25527478	0.2207934534	0.478	0.25480479	0.2203060449	0.479	0.25445480	0.2200413442	0.480	0.25438481	0.2198842607	0.481	0.25415482	0.2195285064	0.482	0.25378483	0.218617583	0.9483	0.2536484	0.2185116707	0.9484	0.2536485	0.2183840079	0.9485	0.2535486	0.2183618635	0.9486	0.2531487	0.2182450302	0.9487	0.2529488	0.2182009911	0.9488	0.2523489	0.2179797048	0.9489	0.252490	0.2176645018	0.93490	0.25491	0.2174435325	0.936491	0.25492	0.2174317924	0.936492	0.25493	0.2172367956	0.936493	0.25494	0.2166371922	0.936494	0.25495	0.2161613681	0.936495	0.24496	0.2161116589	0.936496	0.24497	0.2157844547	0.938497	0.24498	0.2156328894	0.938498	0.24499	0.2154431758	0.938499	0.24500	0.2153425442	0.938500	0.24501	0.215008069	0.9396501	0.2502	0.214642836	0.9382502	0.2503	0.2142591153	0.938503	0.24504	0.2140156798	0.936504	0.24505	0.2137735367	0.936505	0.24506	0.2133985209	0.938506	0.24507	0.2131083263	0.941507	0.2508	0.2129788893	0.9410508	0.509	0.2127751455	0.94101509	0510	0.2126126882	0.941011510	511	0.2123851621	0.9410112511512	0.2121542568	0.9410112351513	0.2120315628	0.9410112365514	0.2118109057	0.941011236
515	0.2116734532	0.941011236
516	0.211326927	0.941011236
517	0.2111750451	0.9424157303
518	0.2108079046	0.9424157303
519	0.2104592508	0.9424157303
520	0.2103332567	0.9424157303
521	0.2102587359	0.9424157303
522	0.2100532218	0.9424157303
523	0.2098005336	0.9424157303
